Rust(단위: s)
type,1,2,3,4,5,6,7,8,9,10
bubble sort,0.000387091,0.000384219,0.000384045,0.000385537,0.000387008,0.000389949,0.000382323,0.000385857,0.000384849,0.000481654
x10_000_000,34.76560797,35.060791109,34.594807151,34.473023085,35.042403936,34.450538223,34.510341587,34.273554337,34.636989711,33.84075273
factorial(8),0.00000532,0.000004178,0.000004298,0.000004618,0.000004288,0.000004078,0.00000553,0.000004237,0.000003988,0.000004859

WebAssembly(단위: s)
type,1,2,3,4,5,6,7,8,9,10
bubble sort,0.003996888000052422,0.002642624999862164,0.0027984289997257292,0.0027984289997257292,0.0027233599997125565,0.0026555939996615054,0.002657860000152141,0.0027334139999002217,0.0027398659996688366,0.002718497000169009
x10_000_000,109.72557206100039,111.54593470899947,112.61868854600004,113.02423192999885,117.00528870500065,114.05199595599994,112.99966400700063,115.5756394720003,111.71891476099938,114.84328310599923
factorial(8),0.0017356599997729062,0.00175600800011307,0.0017705450002104045,0.001722307000309229,0.0017625709995627403,0.0018279229998588561,0.0017355309994891285,0.0017322850003838538,0.0017841130001470446,0.0018054719995707273

JavaScript(단위: s)
type,1,2,3,4,5,6,7,8,9,10
bubble sort,0.0030321599999442697,0.002943183000199497,0.0029705379996448756,0.003037883000448346,0.002969513999298215,0.002938926000148058,0.0029982860004529356,0.0030446620006114246,0.003025397000834346,0.0029864320000633597
x10_000_000,101.95282225499955,103.69341899999976,101.14290344800055,109.13888629600034,104.82875398499985,104.10805971400067,100.71674853399955,104.81229975899868,105.45717620000057,104.69000355899892
factorial(8),0.0017328209998086095,0.0017599309999495746,0.0017565440004691482,0.0020848279995843767,0.0017109489999711514,0.0017301050005480646,0.0019768460001796484,0.0017296450007706881,0.0017235420001670719,0.0017232710011303425
